API,Method,URI,Description
Public,GET,statuses/mentions_timeline,
Public,GET,statuses/user_timeline,Retrieves recent tweets by a user
Public,GET,statuses/home_timeline,
Public,GET,statuses/retweets_of_me,
Public,GET,statuses/retweets/:id,
Public,GET,statuses/show/:id,
Public,POST,statuses/destroy/:id,
Public,POST,statuses/update,
Public,POST,statuses/retweet/:id,
Public,POST,statuses/unretweet/:id,
Public,POST,statuses/update_with_media,
Public,GET,statuses/oembed,
Public,GET,statuses/retweeters/ids,
Public,GET,statuses/lookup,
Public,POST,media/upload,
Public,POST,media/upload (chunked),
Public,GET,direct_messages/sent,
Public,GET,direct_messages/show,
Public,GET,search/tweets,
Public,GET,direct_messages,
Public,POST,direct_messages/destroy,
Public,POST,direct_messages/new,
Public,GET,friendships/no_retweets/ids,
Public,GET,friends/ids,
Public,GET,followers/ids,
Public,GET,friendships/incoming,
Public,GET,friendships/outgoing,
Public,POST,friendships/create,
Public,POST,friendships/destroy,
Public,POST,friendships/update,
Public,GET,friendships/show,
Public,GET,friends/list,
Public,GET,followers/list,
Public,GET,friendships/lookup,
Public,GET,account/settings,
Public,GET,account/verify_credentials,
Public,POST,account/settings,
Public,POST,account/update_delivery_device,
Public,POST,account/update_profile,
Public,POST,account/update_profile_background_image,
Public,POST,account/update_profile_image,
Public,GET,blocks/list,
Public,GET,blocks/ids,
Public,POST,blocks/create,
Public,POST,blocks/destroy,
Public,GET,users/lookup,
Public,GET,users/show,
Public,GET,users/search,
Public,POST,account/remove_profile_banner,
Public,POST,account/update_profile_banner,
Public,GET,users/profile_banner,
Public,POST,mutes/users/create,
Public,POST,mutes/users/destroy,
Public,GET,mutes/users/ids,
Public,GET,mutes/users/list,
Public,GET,users/suggestions/:slug,
Public,GET,users/suggestions,
Public,GET,users/suggestions/:slug/members,
Public,GET,favorites/list,
Public,POST,favorites/destroy,
Public,POST,favorites/create,
Public,GET,lists/list,
Public,GET,lists/statuses,
Public,POST,lists/members/destroy,
Public,GET,lists/memberships,
Public,GET,lists/subscribers,
Public,POST,lists/subscribers/create,
Public,GET,lists/subscribers/show,
Public,POST,lists/subscribers/destroy,
Public,POST,lists/members/create_all,
Public,GET,lists/members/show,
Public,GET,lists/members,
Public,POST,lists/members/create,
Public,POST,lists/destroy,
Public,POST,lists/update,
Public,POST,lists/create,
Public,GET,lists/show,
Public,GET,lists/subscriptions,
Public,POST,lists/members/destroy_all,
Public,GET,lists/ownerships,
Public,GET,saved_searches/list,
Public,GET,saved_searches/show/:id,
Public,POST,saved_searches/create,
Public,POST,saved_searches/destroy/:id,
Public,GET,geo/id/:place_id,
Public,GET,geo/reverse_geocode,
Public,GET,geo/search,
Public,POST,geo/place,
Public,GET,trends/place,
Public,GET,trends/available,
Public,GET,application/rate_limit_status,
Public,GET,help/configuration,
Public,GET,help/languages,
Public,GET,help/privacy,
Public,GET,help/tos,
Public,GET,trends/closest,
Public,POST,users/report_spam,
